Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,cuisine_combination,cluster,processed_reviews,pos_words,neg_words,review_length
51705,Toit,1,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.64070876,12.9791658,"['Italian', 'American', 'Pizza']",2000,Indian Rupees(Rs.),No,No,No,No,4,4.8,Dark Green,Excellent,10934,"('American', 'Italian', 'Pizza')",0,['excellent'],['excellent'],[],9
6710645,Cantinho da Gula,30,S��o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, S��o Paulo, SP",Itaim Bibi,"Itaim Bibi, S��o Paulo",-46.67566667,-23.581,['Brazilian'],55,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,0,"('Brazilian',)",2,['rated'],[],[],9
