Restaurant Name,average_rating,popularity
Polka Pastry & Snack Bar,3.1,3
Om Sweets & Snacks,3.1333333333333333,3
Aggarwal Sweet Centre,0.0,3
Mamagoto,4.166666666666667,3
Side Wok,3.8666666666666667,3
Bake N Shake,4.2,3
Hasty Tasty,2.033333333333333,3
Midnight Hunger Hub,4.033333333333333,3
Habibi Express,1.5,3
Hangchuaa's Chinese Food Corner,2.966666666666667,3
Bats On Delivery,2.6999999999999997,3
Hard Rock Cafe,4.2,3
QD's Restaurant,4.033333333333333,3
Havmor Ice Cream,3.3666666666666667,3
Punjab Restaurant,3.266666666666667,3
Health Buzzz,3.1333333333333333,3
Mitra Da Dhaba,2.1,3
Hira Sweets,3.033333333333333,3
Niti Shake & Ice Cream Hub,1.2666666666666666,3
HuHot Mongolian Grill,3.766666666666667,3
Radha Swami Shudh Vaishno Dhaba,0.0,3
Zizo,3.8666666666666667,3
Tikka Town,3.033333333333333,3
Naivedyam,3.8666666666666667,3
Punjabi Pakwaan,3.1333333333333333,3
Riyaz Biryani Corner,0.0,3
Punjabi Dhaba,2.1999999999999997,3
Roll Club,3.0666666666666664,3
Indian Coffee House,3.533333333333333,3
Bharat Sweets,3.3333333333333335,3
Rollmaal,3.4,3
Tikka Junction,3.4333333333333336,3
Baked Buns,3.4,3
Zaffran,4.166666666666667,3
Goosebumps,3.8000000000000003,3
Not Just Paranthas,3.3333333333333335,3
Doughlicious,3.5,3
Gazebo,4.166666666666667,3
Big Yellow Door,4.266666666666667,3
True Blue,3.1666666666666665,3
Kanwarji's,3.4333333333333336,3
Chimney,3.033333333333333,3
Palmshore,4.3,3
221 B Baker Street,3.3666666666666667,3
Sri Balaji,2.3333333333333335,3
Mr. Brown,3.8666666666666667,3
Little Chef,3.4,3
Amul Ice-Cream Parlour,1.0,3
BarShala,3.266666666666667,3
Street Foods by Punjab Grill,1.9333333333333336,3
Movenpick,3.966666666666667,3
Krispy Kreme,3.9333333333333336,3
Veg Ex,3.6,3
Amici Cafe,3.6999999999999997,3
Breaktym,2.766666666666667,3
Talaga Sampireun,4.9,3
Cafe Delhi Heights,4.033333333333333,3
Taco Bell,3.8666666666666667,3
The Chai Story,3.6999999999999997,3
The Chaiwalas,0.9666666666666667,3
Chinese Food,2.0,3
Chinese Food Corner,0.8333333333333334,3
Wah G Wah,1.7666666666666668,3
Sushiya Express,3.6333333333333333,3
Cakes & Bakes,3.1666666666666665,3
Tea Halt,2.8666666666666667,3
Captain Bill$ Deliverz,2.533333333333333,3
Chawla's Chic Inn,3.033333333333333,3
Changezi Chicken,3.5,3
Wok On Fire,3.8000000000000003,3
Pizza Hub,0.0,3
Chaophraya,4.166666666666667,3
La Pino'z Pizza,3.966666666666667,3
Dilli Darbar,3.1,3
SodaBottleOpenerWala,4.066666666666666,3
Desi Vibes,3.9,3
Burger Singh,3.4333333333333336,3
Bunty Dhaba,2.8333333333333335,3
Kerala Cafe,3.0666666666666664,3
Cafe Turtle,3.4333333333333336,3
Defence Bakery,3.6999999999999997,3
New Madras Cafe,1.9666666666666668,3
Speedy Chow,3.466666666666667,3
Chawla's Tandoori Junction,2.2666666666666666,3
New Zaika,2.75,2
Pandey Chinese Hut,2.7,2
Raasta,3.8499999999999996,2
Pebble Street,3.95,2
Paramjeet Machi Wala,3.5,2
Punjabi Chicken,0.0,2
Pastry Palace,1.6,2
Pandit Ji Ki Apni Rasoi,1.2,2
Pasta Hub,3.05,2
Patiala Shahi,3.45,2
Papa Buns,1.8,2
Nooba,3.7,2
Qureshi Kabab Corner,3.65,2
Pasta Hut,3.4,2
Pho King Awesome,2.05,2
Perch Wine & Coffee Bar,4.25,2
Night Munchers,0.0,2
New Kadimi,2.9,2
Pizza King,0.0,2
Organic Express,3.2,2
Papa Veg Chinese Food,3.3499999999999996,2
Pizza Yum,2.9000000000000004,2
Pizza Diet,2.75,2
Olive Bistro,4.15,2
Pizza Day,0.0,2
Prince Chaat Corner,3.45,2
Otik Cake Shop,3.65,2
Pitstop,1.65,2
Night Food Xprs,2.7,2
Oh! Calcutta,4.1,2
Puja Sandwich House,1.35,2
Oh Buoy,3.3499999999999996,2
Naturals Ice Cream,4.800000000000001,2
Nazeer Delicacies,3.3,2
Out Of The Box,3.85,2
New Punjabi Khana,3.5,2
Night Food Delivery,1.35,2
Oberoi's,3.4000000000000004,2
New Town Cafe - Park Plaza,3.9,2
Oberoi Biryani,2.75,2
Punjabee's Darbar,3.15,2
OCD - Online Cake Delivery,0.0,2
Nawabi Mughlai Zaika,3.25,2
Nutritious Nation,3.55,2
Punjabi By Nature,3.7,2
Perfect Bake,3.55,2
Paapi Paet,3.45,2
Paradise,3.7,2
10 Downing Street,4.0,2
Raj Rasoi,1.65,2
The Culinary Pitaara,3.5,2
The Tandoor,3.0,2
The Square Meal,0.0,2
The Roll Van,2.95,2
The Pirates Of China Town,1.6,2
The Pint Room,3.7,2
The Night Owl,1.4,2
The National,4.15,2
The Mirch Masala,3.1,2
The Mad Teapot/The Wishing Chair,4.25,2
The Kitchen,2.95,2
The Junkyard Cafe,3.8499999999999996,2
The Great Kabab Factory,3.5,2
The Flying Saucer Cafe,4.1,2
The Dosa King,3.05,2
The Creamery,4.05,2
Raj Restaurant,2.75,2
